Area_Type,Availability,Location,Size,Society Name,Total_Sqft,No of Bathroom,No of Balcony,Price in Lakhs,Price per sqft
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,PuontFa,2020,3,2,160,7921
Super built-up  Area,Ready To Move,Vinayaka Layout,5 BHK,V htsji,2700,4,,170,6296
Super built-up  Area,18-Jan,Hosa Road,3 BHK,Pamesy ,1730,3,2,72.6,4197
Built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1950,3,2,125,6410
Super built-up  Area,Ready To Move,Thirumalashettyhally,2 BHK,Srcha S,1077,2,1,34.46,3200
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Stide B,1706,3,2,115,6741
Built-up  Area,Ready To Move,New Gurappana Palya,5 BHK,,3000,4,0,300,10000
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1093,2,1,37,3385
Super built-up  Area,Ready To Move,Ambalipura,4 BHK,,2750,4,,142,5164
Super built-up  Area,18-Feb,Whitefield,2 BHK,BrlisCo,1340,2,1,101,7537
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,AsastDe,984,2,1,59,5996
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,DSutyng,1135,2,2,68,5991
Plot  Area,18-Dec,Bannerghatta Road,4 BHK,Putere ,2400,4,1,344,14333
Super built-up  Area,Ready To Move,Varthur,2 BHK,MKllei ,1155,2,2,39,3377
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,Baowsig,700,1,0,35,5000
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,Maows M,1150,2,1,42,3652
Super built-up  Area,Ready To Move,Hormavu,3 BHK,ARureig,1385,2,1,69.25,5000
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,4,2,175,8491
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,1335,2,3,73.43,5500
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Goner C,1015,2,1,60,5911
Built-up  Area,Ready To Move,Banashankari Stage III,6 BHK,,3000,6,2,150,5000
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1108,2,1,63,5686
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,,1180,2,1,105,8898
Super built-up  Area,18-Sep,Hennur Road,3 BHK,Maity W,1445,2,1,83,5744
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,1500,2,2,65,4333
Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1085,2,1,46.5,4286
Plot  Area,Ready To Move,Kadugodi,4 BHK,,2760,4,2,290,10507
Built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330,2,1,49,3684
Plot  Area,18-May,Ramagondanahalli,2 BHK,,845,2,1,45.82,5422
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,Dimes E,1303,2,2,80,6140
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1560,2,2,125,8013
Super built-up  Area,19-Jan,Chandapura,3 BHK,SuVue S,1110,2,2,29.97,2700
Super built-up  Area,18-May,Doddabanahalli,3 BHK,,1290,3,2,45.33,3514
Super built-up  Area,18-Mar,9th Phase JP Nagar,3 BHK,HMigond,1780,3,2,88,4944
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1636,3,2,83,5073
Built-up  Area,18-May,Hennur,4 BHK,Asoilul,2557,,,170,6648
Built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,DShtsow,1332,2,2,101,7583
Super built-up  Area,Ready To Move,Sadashiva Nagar,5 BHK,,7500,5,2,1500,20000
Built-up  Area,Ready To Move,Kodbisanhalli,2 BHK,Seityen,1012,2,2,59,5830
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Reunee ,1192,2,2,53.5,4488
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1213,2,2,48,3957
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,CoLeoen,1489,3,2,88,5910
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Ahownve,1200,2,2,62,5167
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,,1140,2,2,28.5,2500
Super built-up  Area,18-Apr,Devanahalli,3 BHK,Brrds O,1200,2,1,55.08,4590
Super built-up  Area,18-Aug,Ananth Nagar,2 BHK,,1200,2,1,36,3000
Plot  Area,Ready To Move,Vidyaranyapura,5 BHK,,2640,6,1,225,8523
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1650,3,1,94,5697
Plot  Area,Ready To Move,Bharathnagar,2 BHK,,1245,2,1,120,9639
Super built-up  Area,Ready To Move,Ardendale,2 BHK,AWharde,1224,2,2,67,5474
Super built-up  Area,18-Aug,Gunjur,2 BHK,BMineis,1235,2,2,52.76,4272
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1200,2,2,45.6,3800
Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCs 2rj,1342,2,2,75,5589
Plot  Area,Ready To Move,9th Phase JP Nagar,3 BHK,,600,3,2,79,13167
Built-up  Area,Ready To Move,TC Palaya,2 BHK,GilomSh,1800,2,2,80,4444
Plot  Area,Ready To Move,HAL 2nd Stage,4 BHK,,2280,4,2,615,26974
Plot  Area,Ready To Move,Rajaji Nagar,4 BHK,,2440,2,0,415,17008
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,1130,2,1,46.33,4100
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1186,2,3,72,6071
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1295,2,1,64,4942
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,905,2,1,65,7182
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Nadhian,1165,2,1,40,3433
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1328,2,2,107,8057
Super built-up  Area,Ready To Move,Gandhi Bazar,3 BHK,,1485,2,3,110,7407
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1475,2,3,59,4000
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,AuRISa ,1175,2,2,35,2979
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,4 BHK,,720,4,1,95,13194
Super built-up  Area,20-Nov,Rachenahalli,2 BHK,AsNowre,985,2,1,49.97,5073
Plot  Area,Ready To Move,Koramangala,5 BHK,,4000,5,0,800,20000
Super built-up  Area,Ready To Move,Hoskote,3 BHK,VRiewke,1395,2,2,63,4516
Super built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630,1,1,40.5,6429
Super built-up  Area,Ready To Move,MS Pallya,4 BHK,,2400,4,1,88,3667
Super built-up  Area,Ready To Move,Gottigere,2 BHK,,1170,2,2,40,3419
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2500,5,2,181,7240
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,,1100,2,2,49.5,4500
Super built-up  Area,18-Mar,Hulimavu,4 BHK,Vapasrk,3560,5,3,318,8933
Built-up  Area,18-Dec,Bommasandra Industrial Area,2 BHK,,1160,2,1,33.51,2889
Super built-up  Area,18-Jan,Varthur,2 BHK,Muistry,1180,2,2,55,4661
Super built-up  Area,21-Jan,Tumkur Road,3 BHK,Sapus S,1441,2,1,95,6593
Super built-up  Area,Ready To Move,Channasandra Layout,2 BHK,Aconyit,1115,2,1,50,4484
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Goandn ,1825,3,2,145,7945
Carpet  Area,Ready To Move,Challaghatta,2 BHK,,1489,2,0,101,6783
Super built-up  Area,Ready To Move,Defence Colony,4 BHK,,2800,4,3,365,13036
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1278,3,2,62.71,4907
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,1065,2,1,50.92,4781
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Pae 1ov,1190,2,1,64,5378
Super built-up  Area,22-Jun,Koramangala,2 BHK,,1130,2,2,63,5575
Super built-up  Area,18-Apr,Banashankari,2 BHK,Bregae ,1430,2,2,87.8,6140
Built-up  Area,Ready To Move,HRBR Layout,4 BHK,Aples M,1900,3,1,90,4737
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSlesSp,1104,2,1,34.22,3100
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1240,2,2,45.88,3700
Built-up  Area,Ready To Move,Choodasandra,2 BHK,GRlpank,1140,2,2,62,5439
Super built-up  Area,Ready To Move,Sarjapur,4 BHK,Prldsum,3508,6,2,425,12115
Super built-up  Area,Ready To Move,KR Puram,3 BHK,KeureSi,1700,3,3,105,6176
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2658,5,3,189,7111
Super built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,DencyRe,1600,2,1,90,5625
Super built-up  Area,Ready To Move,OMBR Layout,4 BHK,,3400,4,2,275,8088
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,3 BHK,Sariana,1508,3,1,75,4973
Built-up  Area,18-Jan,Balagere,1 BHK,Soresea,645,1,1,41,6357
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,1046,2,1,60,5736
Plot  Area,Ready To Move,Munnekollal,10 BHK,,1200,8,3,230,19167
Built-up  Area,Ready To Move,5th Block Jayanagar,1 BHK,,1500,1,1,300,20000
Built-up  Area,Ready To Move,Mahalakshmi Puram,6 BHK,,3000,6,3,300,10000
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1079,2,1,32.37,3000
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,Soowsa ,975,2,1,50,5128
Built-up  Area,Ready To Move,ISRO Layout,2 BHK,Foinade,1050,2,1,51,4857
Plot  Area,Ready To Move,HSR Layout,9 BHK,,1200,9,0,350,29167
Super built-up  Area,Ready To Move,"Jayanagar, ",3 BHK,,1903,3,2,165,8671
Super built-up  Area,Ready To Move,Asthagrama Layout,2 BHK,,1200,2,2,38,3167
Super built-up  Area,Ready To Move,Avalahalli,4 BHK,Sohea A,2996,4,3,200,6676
Built-up  Area,Ready To Move,Manayata Tech Park,4 BHK,,3400,4,,200,5882
Plot  Area,Ready To Move,Whitefield,4 BHK,PrOakSi,2000,4,1,312,15600
Plot  Area,Ready To Move,Jigani,4 BHK,,1453,4,1,160,11012
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,,1092,2,2,43,3938
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyavuHo,1400,2,0,75,5357
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,Rerelve,1416,2,1,85,6003
Built-up  Area,Ready To Move,ITI Layout,3 BHK,BMityre,1602,2,1,75,4682
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Music C,1100,2,1,41,3727
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1760,3,,110,6250
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3800,4,3,235,6184
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,1037,2,1,36.28,3499
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,1384,2,2,76.18,5504
Super built-up  Area,22-Jan,Vajarahalli,1 BHK,,551,1,1,30,5445
Plot  Area,Ready To Move,Indira Nagar,4 BHK,,2400,5,,1250,52083
Plot  Area,Ready To Move,7th Phase JP Nagar,1 BHK,,500,1,0,70,14000
Super built-up  Area,18-Apr,Sarjapur,2 BHK,SNityVe,900,2,2,27.98,3109
Plot  Area,Ready To Move,Anandapura,3 BHK,,1415,2,1,74,5230
Super built-up  Area,18-Mar,Rajarajesheari nagar,2 BHK,,1400,2,1,44.8,3200
Plot  Area,Ready To Move,Devara Jeevanahalli,7 BHK,,1300,4,1,52,4000
Built-up  Area,Ready To Move,Millers Road,3 BHK,,2850,4,3,460,16140
Built-up  Area,Ready To Move,Kudlu,2 BHK,MJinala,1030,2,2,75,7282
Built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2,1,39,4417
Super built-up  Area,Ready To Move,Celebrity Paradise Layout,1 BHK,,550,1,1,16,2909
Super built-up  Area,Ready To Move,Anjanapura,4 BHK,,1800,4,2,55,3056
Plot  Area,Ready To Move,Yemlur,5 BHK,Epllan ,10000,5,,1950,19500
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,1210,2,1,77,6364
Plot  Area,Ready To Move,Vishveshwarya Layout,4 BHK,,2000,3,0,90,4500
Super built-up  Area,21-Oct,Kanakpura Road,3 BHK,PrarePa,1100,3,1,58,5273
Super built-up  Area,Ready To Move,Lavakusha Nagar,3 BHK,,1780,3,1,100,5618
Plot  Area,Ready To Move,2nd Block Hbr Layout,5 BHK,,950,5,2,55,5789
Built-up  Area,Ready To Move,Panathur,2 BHK,,1050,2,2,60,5714
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Collsrn,1370,3,3,38.36,2800
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3951,4,3,230,5821
Super built-up  Area,Ready To Move,Bellandur,3 BHK,BhreeBa,2500,4,2,112,4480
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2 BHK,,1050,2,1,49.5,4714
Super built-up  Area,Ready To Move,Anjanapura,3 BHK,,1843,3,1,87.54,4750
Plot  Area,Ready To Move,3rd Block Banashankari,4 BHK,,1200,4,1,175,14583
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1186,2,1,76,6408
Super built-up  Area,18-Aug,Haralur Road,1 BHK,SNnia E,560,1,1,45,8036
Plot  Area,Ready To Move,Mahalakshmi Layout,4 BHK,,1200,3,1,160,13333
Super built-up  Area,20-Jan,Yelahanka,3 BHK,Aduil T,1823,3,2,103,5650
Built-up  Area,Ready To Move,Rajasree Layout,3 BHK,Itbhaa ,1310,3,3,90,6870
Super built-up  Area,Ready To Move,Varthur,3 BHK,CaestSr,1520,2,2,60,3947
Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,Rosha I,1610,3,1,74.03,4598
Plot  Area,18-Aug,Whitefield,3 BHK,,1500,3,1,78.57,5238
Super built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,MCrds S,1400,2,2,80,5714
Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,,1625,3,2,120,7385
Plot  Area,Ready To Move,Chikkalasandra,5 BHK,,1500,5,3,265,17667
Built-up  Area,Ready To Move,Hessarghatta,2 BHK,,900,2,1,24,2667
Built-up  Area,Ready To Move,Talaghattapura,2 BHK,,1100,2,0,32,2909
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1000,2,1,50,5000
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2774,4,3,197,7102
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,Vaarai ,994,2,0,54.67,5500
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,ARncy R,1455,3,3,75,5155
Plot  Area,Ready To Move,Chandapura,5 BHK,Arncyd ,1200,3,1,79,6583
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1172,2,1,75,6399
Super built-up  Area,Ready To Move,Hennur,3 BHK,,1935,3,2,102,5271
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Ameur G,1856,3,3,106,5711
Super built-up  Area,Ready To Move,Old Airport Road,3 BHK,,2392,3,2,249,10410
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Gaent R,900,2,2,35,3889
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,ChionCo,1757,3,3,98,5578
Super built-up  Area,Ready To Move,Kudlu,2 BHK,,1027,2,2,44,4284
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Nillsre,1626,3,3,85,5228
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,2 BHK,,1200,2,1,54,4500
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1559,3,1,81.55,5231
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,,1190,2,2,50,4202
Super built-up  Area,Ready To Move,KR Puram,2 BHK,SVlesas,1200,2,1,72,6000
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2,1,74,6303
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1140,2,1,65,5702
Built-up  Area,Ready To Move,Vibuthipura,3 BHK,Tantsod,1603,2,0,125,7798
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Prldsri,1278,3,2,70,5477
Super built-up  Area,Ready To Move,Krishna Reddy Layout,3 BHK,RahtsHe,2180,3,,285,13073
Super built-up  Area,Ready To Move,Banashankari Stage III,2 BHK,DatroGo,1085,2,1,50,4608
Super built-up  Area,19-Jun,Whitefield,2 BHK,Pae 2ov,1195,2,1,61.36,5135
Plot  Area,Ready To Move,Kamakshipalya,1 BHK,,450,1,0,30,6667
Super built-up  Area,19-Jan,Rajaji Nagar,4 BHK,,6500,5,2,1400,21538
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,550,1,1,11.5,2091
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,AriosPa,1165,2,2,45,3863
Super built-up  Area,Ready To Move,1st Stage Indira Nagar,4 BHK,,3000,4,2,301,10033
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3,3,60,4132
Super built-up  Area,18-Jan,Sarjapur  Road,1 BHK,SJityaz,702,1,1,52,7407
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1020,2,1,42.83,4199
Super built-up  Area,18-May,Devanahalli,2 BHK,Derdsig,1340,2,1,65,4851
Super built-up  Area,18-Apr,Marathahalli,2 BHK,,1125,2,1,54.8,4871
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,ARnamru,1160,2,1,40.53,3494
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,DSestil,1050,2,1,50,4762
Super built-up  Area,19-Dec,JP Nagar,3 BHK,Shestut,1960,3,1,138,7041
Built-up  Area,Ready To Move,Ganga Nagar,2 BHK,,1200,3,2,52,4333
Plot  Area,Ready To Move,Judicial Layout,3 BHK,,1200,4,1,220,18333
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,3496,4,,262,7494
Super built-up  Area,Ready To Move,Electronic City,2 BHK,MavanK ,975,2,1,32,3282
Super built-up  Area,Ready To Move,Kudlu,3 BHK,MJinala,1700,3,3,125,7353
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,,1800,4,0,230,12778
Plot  Area,Ready To Move,Madavara,4 BHK,,612,3,0,47,7680
Built-up  Area,Ready To Move,Brooke Bond First Cross,2 BHK,Viium E,1275,2,3,69,5412
Built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,,650,1,0,40,6154
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1495,2,2,110,7358
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Srntsha,1200,2,2,48,4000
Plot  Area,Ready To Move,Sarjapura - Attibele Road,5 BHK,,3750,6,2,295,7867
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1679,3,2,94.86,5650
Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,,1450,3,2,75,5172
Super built-up  Area,18-Nov,Balagere,2 BHK,Soresea,1210,2,1,82,6777
Super built-up  Area,18-May,Dwaraka Nagar,3 BHK,,1300,2,1,51,3923
Super built-up  Area,Ready To Move,Judicial Layout,2 BHK,,1165,2,1,49.61,4258
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1623,3,3,155,9550
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1115,2,1,35.8,3211
Super built-up  Area,Ready To Move,BTM Layout,1 BHK,,450,1,1,20,4444
Super built-up  Area,18-Apr,Electronics City Phase 1,2 BHK,Shitt S,1170,2,1,62,5299
Built-up  Area,Ready To Move,KR Puram,4 BHK,Caxusnd,2065,4,0,248,12010
Built-up  Area,Ready To Move,Marathahalli,3 BHK,,1700,3,2,126,7412
Plot  Area,Ready To Move,Uttarahalli,6 BHK,,1080,5,2,160,14815
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,SoncyRe,1245,2,1,55,4418
Built-up  Area,19-Dec,Kanakapura,2 BHK,GoityEt,1017,2,1,66,6490
Plot  Area,Ready To Move,7th Phase JP Nagar,6 BHK,,650,6,2,80,12308
Super built-up  Area,18-Mar,Sarjapur  Road,2 BHK,SJityaz,1242,2,1,75,6039
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1792,3,1,104,5804
Super built-up  Area,18-Aug,Garebhavipalya,3 BHK,,1275,3,2,55,4314
Plot  Area,Ready To Move,8th Phase JP Nagar,6 BHK,,1200,6,1,260,21667
Plot  Area,Ready To Move,7th Block Jayanagar,3 BHK,,2400,3,0,408,17000
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Sidin J,605,1,1,22,3636
Plot  Area,Ready To Move,HBR Layout,4 BHK,,1200,4,2,115,9583
Super built-up  Area,18-Dec,Electronics City Phase 1,3 BHK,Shitt S,1450,3,2,79,5448
Plot  Area,Ready To Move,Bommenahalli,3 BHK,Prana S,1232,3,1,96,7792
Plot  Area,Ready To Move,Laggere,5 BHK,,1800,5,0,70,3889
Built-up  Area,Ready To Move,Sidedahalli,1 BHK,,900,1,1,52.3,5811
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1200,2,2,40,3333
Super built-up  Area,Ready To Move,Kadugodi,4 BHK,,2100,3,,204,9714
Super built-up  Area,18-Aug,Uttarahalli,2 BHK,DSera S,1065,2,1,42.6,4000
Super built-up  Area,Ready To Move,AGS Layout,2 BHK,,1075,2,1,48.38,4500
Plot  Area,Ready To Move,Anand Nagar,6 BHK,,1508,5,2,240,15915
Super built-up  Area,Ready To Move,Lake City,2 BHK,Prdenth,780,2,1,31,3974
Super built-up  Area,18-Oct,Ramagondanahalli,3 BHK,DNeremo,1910,3,2,150,7853
Built-up  Area,Ready To Move,Cox Town,2 BHK,,1280,2,1,120,9375
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530,3,2,64,4183
Built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,5,2,170,6970
Super built-up  Area,Ready To Move,Varsova Layout,2 BHK,InhtsHe,1088,2,2,43.5,3998
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,3 BHK,Prllsan,1587,3,1,73.8,4650
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,,1045,2,2,55,5263
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Prensya,1304,2,1,69.97,5366
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DSe 2ie,1100,2,2,65,5909
Super built-up  Area,18-May,Hennur Road,3 BHK,Puachal,1482,2,1,68.9,4649
Built-up  Area,18-Mar,Devanahalli,3 BHK,,2125,3,1,107,5035
Super built-up  Area,Ready To Move,Varthur,5 BHK,,1000,4,0,65,6500
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,,1194,2,2,45,3769
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Sravema,1200,2,3,42,3500
Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1070,2,2,32.99,3083
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Bhentne,1100,2,1,46.5,4227
Built-up  Area,Ready To Move,Whitefield,3 BHK,Hoensti,1270,2,2,65,5118
Super built-up  Area,Ready To Move,Marasandra,2 BHK,,1000,2,1,31,3100
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,69,5538
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1529,3,3,51.77,3386
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2,2,42,3544
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,,1060,2,1,46,4340
Super built-up  Area,Ready To Move,Ananth Nagar,3 BHK,Patri M,1319,3,1,37.75,2862
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Srsica ,991,2,0,64,6458
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Pronyt ,662,1,0,38,5740
Built-up  Area,Ready To Move,Nandini Layout,2 BHK,,1200,2,1,110,9167
Plot  Area,18-Apr,tc.palya,3 BHK,,1400,2,1,78,5571
Super built-up  Area,Ready To Move,Talaghattapura,3 BHK,,1575,3,2,80,5079
Plot  Area,Ready To Move,Hosakerehalli,2 BHK,,600,2,0,65,10833
Plot  Area,Ready To Move,Electronic City,5 BHK,,717,5,1,78,10879
Super built-up  Area,Ready To Move,Ananth Nagar,3 BHK,Patri M,1319,3,1,42,3184
Plot  Area,Ready To Move,Brookefield,3 BHK,Sotus L,2000,3,2,300,15000
Plot  Area,Ready To Move,9th Phase JP Nagar,3 BHK,,600,3,2,85,14167
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,940,2,1,48,5106
Plot  Area,Ready To Move,Kodigehalli,2 BHK,,500,1,0,55,11000
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,ReudePr,1349,2,2,56.7,4203
Built-up  Area,18-Jun,Whitefield,3 BHK,,3117,3,2,261,8373
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,SrisePo,1844,3,3,95,5152
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275,4,2,185,8132
Super built-up  Area,18-Aug,Varthur Road,2 BHK,,1140,2,2,49.11,4308
Plot  Area,Ready To Move,Banjara Layout,3 BHK,,900,3,1,79,8778
Super built-up  Area,Ready To Move,Jaya Mahal layout,3 BHK,Nehalri,2648,3,3,238,8988
Plot  Area,Ready To Move,Judicial Layout,5 BHK,,5400,4,,700,12963
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1372,2,2,48.02,3500
Built-up  Area,Ready To Move,Sanne Amanikere,3 BHK,Hoxiaa ,1455,2,1,45,3093
Super built-up  Area,Ready To Move,Hebbal,2 BHK,,1100,2,2,38,3455
Super built-up  Area,22-Jan,Vajarahalli,3 BHK,,1475,3,1,80,5424
Super built-up  Area,18-Apr,Nagavarapalya,3 BHK,PuonsSe,1788,3,1,164,9172
Super built-up  Area,18-Aug,Kudlu Gate,3 BHK,Sanzaat,1850,3,2,120,6486
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Cilip J,1315,2,2,60,4563
Super built-up  Area,Ready To Move,Brooke Bond First Cross,3 BHK,Soosea ,1721,3,2,93,5404
Super built-up  Area,17-Nov,Sonnenahalli,2 BHK,Skacak ,1059,2,1,62,5855
Built-up  Area,Ready To Move,Kadubeesanahalli,2 BHK,Skesta ,1184,2,1,55,4645
Plot  Area,Ready To Move,Yelahanka,7 BHK,,1400,5,2,175,12500
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Proodt ,2223,3,2,300,13495
Built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,KSideas,1480,3,2,75,5068
Super built-up  Area,Ready To Move,Kodigehalli,2 BHK,Raellil,635,1,1,28,4409
Plot  Area,Ready To Move,BEML Layout,2 BHK,,2400,2,1,228,9500
Built-up  Area,Ready To Move,JP Nagar,4 BHK,,1500,2,0,87,5800
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1143,2,1,34.2,2992
Plot  Area,Ready To Move,Sarjapur  Road,4 BHK,,3200,4,1,350,10938
Plot  Area,20-Jul,Kanakpura Road,4 BHK,,3170,4,3,250,7886
Built-up  Area,Ready To Move,Vaishnavi Layout,4 BHK,Prsisge,4800,4,3,420,8750
Super built-up  Area,Ready To Move,Kothannur,3 BHK,,1485,2,2,59.4,4000
